,,After Task 1,After Task 1,After Task 1,After Task 2,After Task 2,After Task 2,After Task 3,After Task 3,After Task 3
,,T1,T2,T3,T1,T2,T3,T1,T2,T3
ANN,1.0,0.874 ± 0.017,0.818 ± 0.029,0.829 ± 0.022,0.869 ± 0.018,0.866 ± 0.018,0.848 ± 0.017,0.873 ± 0.013,0.854 ± 0.013,0.867 ± 0.012
ANN,0.5,0.745 ± 0.021,0.640 ± 0.028,0.633 ± 0.033,0.723 ± 0.029,0.795 ± 0.031,0.704 ± 0.036,0.757 ± 0.021,0.771 ± 0.024,0.824 ± 0.025
ANN,0.25,0.642 ± 0.092,0.455 ± 0.068,0.452 ± 0.065,0.597 ± 0.064,0.687 ± 0.045,0.529 ± 0.042,0.626 ± 0.032,0.623 ± 0.042,0.707 ± 0.034
ANN,0.1,0.518 ± 0.125,0.217 ± 0.060,0.211 ± 0.037,0.400 ± 0.088,0.551 ± 0.130,0.304 ± 0.065,0.404 ± 0.049,0.444 ± 0.097,0.567 ± 0.080
KAN,1.0,0.958 ± 0.003,0.820 ± 0.017,0.821 ± 0.021,0.923 ± 0.004,0.944 ± 0.003,0.913 ± 0.002,0.925 ± 0.006,0.911 ± 0.010,0.936 ± 0.003
KAN,0.5,0.946 ± 0.005,0.894 ± 0.010,0.894 ± 0.009,0.913 ± 0.008,0.947 ± 0.005,0.913 ± 0.008,0.920 ± 0.004,0.922 ± 0.007,0.950 ± 0.005
KAN,0.25,0.922 ± 0.013,0.733 ± 0.039,0.748 ± 0.044,0.832 ± 0.020,0.939 ± 0.009,0.826 ± 0.012,0.861 ± 0.022,0.871 ± 0.019,0.940 ± 0.004
KAN,0.1,0.826 ± 0.034,0.136 ± 0.183,0.181 ± 0.153,0.308 ± 0.174,0.843 ± 0.048,0.203 ± 0.164,0.252 ± 0.170,0.363 ± 0.138,0.845 ± 0.044
