,Year,Month,Day,Hour,Temp,Dew,Hum,Pres,File,Zone Name,Name,Area,u-Value (Roof),Heat Capacity,Winter Typical:Heat Flow
0,1986,1,5,1,-5.4,-7.7,82,95700,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,400.2
1,1986,1,5,2,-6.9,-8.4,88,95700,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,544.5
2,1986,1,5,3,-6.6,-7.9,89,95700,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,645.0
3,1986,1,5,4,-8.2,-10.7,80,95600,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,727.5
4,1986,1,5,5,-7.9,-10.2,82,95600,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,785.5
5,1986,1,5,6,-8.2,-10.6,81,95500,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,824.0
6,1986,1,5,7,-8.2,-10.7,80,95400,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,851.5
7,1986,1,5,8,-8.4,-11.0,79,95300,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,864.0
8,1986,1,5,9,-6.7,-9.7,77,95200,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-4452.0
9,1986,1,5,10,-5.3,-9.2,71,95100,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-5700.0
10,1986,1,5,11,-3.8,-8.9,64,94900,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-6764.0
11,1986,1,5,12,-1.7,-8.2,57,94800,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-7716.0
12,1986,1,5,13,-0.6,-9.1,48,94600,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-8210.0
13,1986,1,5,14,-0.4,-7.3,56,94300,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-8090.0
14,1986,1,5,15,0.2,-8.3,49,94200,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-7710.0
15,1986,1,5,16,-1.4,-7.5,59,94200,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-6612.0
16,1986,1,5,17,-2.5,-8.0,62,94100,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-5988.0
17,1986,1,5,18,-2.4,-8.5,59,94100,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-5744.0
18,1986,1,5,19,-2.4,-8.6,59,94000,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-5576.0
19,1986,1,5,20,-4.2,-7.5,75,94100,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-3694.0
20,1986,1,5,21,-2.9,-7.2,69,94200,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-955.5
21,1986,1,5,22,-2.7,-6.8,70,94200,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-522.5
22,1986,1,5,23,-2.9,-6.5,74,94200,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,-169.4
23,1986,1,5,24,-2.9,-5.5,80,94200,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,84.4
24,1986,1,6,1,-2.7,-4.9,83,94100,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,404.0
25,1986,1,6,2,-2.6,-4.9,82,94100,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,575.5
26,1986,1,6,3,-2.7,-5.1,82,94100,Shape1_2018,Office:3,Office:3:Roof:6,548.0,0.151,548685.4,721.5
